Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
23.99,2.13,51.0,2.118,0.030005,10.790018972222224,526.8690000000007
23.99,2.16,51.8,2.124,0.030562000000000002,10.820580972222224,528.9930000000007
24.0,1.86,44.6,2.126,0.026338777777777777,10.846919750000001,531.1190000000007
23.99,1.56,37.4,2.12,0.022024444444444444,10.868944194444445,533.2390000000007
23.99,1.86,44.6,2.121,0.026276833333333336,10.89522102777778,535.3600000000007
24.0,1.65,39.6,2.123,0.023353000000000002,10.91857402777778,537.4830000000007
23.99,2.22,53.2,2.119,0.03131411111111112,10.949888138888891,539.6020000000008
23.99,1.56,37.4,2.12,0.022024444444444444,10.971912583333335,541.7220000000008
23.99,1.74,41.7,2.131,0.024684083333333336,10.996596666666669,543.8530000000007
23.99,1.47,35.2,2.122,0.020748444444444444,11.017345111111114,545.9750000000007
23.99,2.19,52.5,2.132,0.03109166666666667,11.04843677777778,548.1070000000007
23.99,2.1,50.3,2.117,0.029579194444444443,11.078015972222225,550.2240000000006
23.99,2.04,48.9,2.12,0.02879666666666667,11.106812638888892,552.3440000000006
23.99,1.38,33.1,2.132,0.019602555555555557,11.126415194444448,554.4760000000006
23.99,1.53,36.7,2.118,0.02159183333333333,11.148007027777782,556.5940000000006
24.01,1.86,44.6,2.118,0.026239666666666668,11.174246694444449,558.7120000000007
23.94,2.1,50.2,2.134,0.029757444444444444,11.204004138888893,560.8460000000007
23.91,10.2,243.8,2.122,0.14370655555555556,11.347710694444448,562.9680000000006
23.91,10.98,262.5,2.132,0.15545833333333334,11.503169027777782,565.1000000000006
24.0,1.98,47.5,2.12,0.027972222222222225,11.531141250000005,567.2200000000006
23.99,2.19,52.5,2.134,0.031120833333333334,11.562262083333337,569.3540000000006
23.99,2.13,51.0,2.119,0.03001916666666667,11.592281250000005,571.4730000000006
23.99,2.13,51.0,2.121,0.0300475,11.622328750000005,573.5940000000006
24.0,2.22,53.2,2.128,0.03144711111111111,11.653775861111116,575.7220000000007
23.99,1.29,30.9,2.122,0.01821383333333333,11.67198969444445,577.8440000000006
23.99,2.1,50.3,2.12,0.02962111111111111,11.701610805555562,579.9640000000006
23.99,1.71,41.0,2.126,0.024212777777777778,11.72582358333334,582.0900000000006
23.99,1.44,34.5,2.117,0.02028791666666667,11.746111500000007,584.2070000000006
23.99,2.04,48.9,2.122,0.02882383333333333,11.77493533333334,586.3290000000005
23.99,1.41,33.8,2.127,0.019970166666666664,11.794905500000008,588.4560000000005
23.99,2.16,51.8,2.118,0.030475666666666665,11.825381166666673,590.5740000000005
24.01,2.04,48.9,2.12,0.02879666666666667,11.85417783333334,592.6940000000005
23.99,2.22,53.2,2.132,0.03150622222222223,11.885684055555563,594.8260000000005
24.01,1.98,47.5,2.12,0.027972222222222225,11.913656277777786,596.9460000000005
23.99,2.13,51.0,2.134,0.030231666666666664,11.943887944444453,599.0800000000005
23.99,1.32,31.6,2.131,0.01870544444444444,11.962593388888898,601.2110000000005
23.99,2.19,52.5,2.125,0.030989583333333334,11.993582972222232,603.3360000000005
24.0,2.19,52.5,2.119,0.030902083333333337,12.024485055555566,605.4550000000005
23.91,11.07,264.6,2.12,0.15582000000000004,12.180305055555566,607.5750000000005
23.91,11.04,263.9,2.127,0.15592091666666663,12.336225972222232,609.7020000000005
23.96,1.5,35.9,2.119,0.02113113888888889,12.35735711111112,611.8210000000005
23.99,2.1,50.3,2.119,0.02960713888888889,12.386964250000009,613.9400000000005
23.99,1.56,37.4,2.14,0.022232222222222223,12.40919647222223,616.0800000000005
24.0,1.44,34.5,2.12,0.020316666666666667,12.429513138888897,618.2000000000005
23.99,2.22,53.2,2.127,0.03143233333333333,12.46094547222223,620.3270000000005
23.99,1.38,33.1,2.121,0.019501416666666667,12.480446888888897,622.4480000000004
23.99,2.01,48.2,2.119,0.02837105555555556,12.508817944444452,624.5670000000005
24.0,1.65,39.6,2.128,0.023408000000000005,12.532225944444452,626.6950000000005
24.0,2.1,50.4,2.119,0.029666,12.561891944444453,628.8140000000005
23.99,1.59,38.1,2.118,0.0224155,12.584307444444452,630.9320000000006
24.01,1.74,41.7,2.126,0.024626166666666668,12.608933611111118,633.0580000000006
23.99,2.22,53.2,2.119,0.03131411111111112,12.64024772222223,635.1770000000006
23.99,1.38,33.1,2.116,0.019455444444444445,12.659703166666674,637.2930000000006
23.99,2.16,51.8,2.133,0.030691499999999997,12.690394666666673,639.4260000000006
24.01,1.29,30.9,2.119,0.018188083333333334,12.708582750000007,641.5450000000006
24.01,1.95,46.8,2.12,0.027559999999999998,12.736142750000006,643.6650000000006
24.01,2.13,51.1,2.124,0.030149000000000006,12.766291750000006,645.7890000000007
23.99,1.95,46.7,2.122,0.027527055555555558,12.793818805555562,647.9110000000006
23.99,2.22,53.2,2.119,0.03131411111111112,12.825132916666673,650.0300000000007
23.94,1.41,33.7,2.128,0.01992044444444445,12.845053361111118,652.1580000000007
23.91,11.04,263.9,2.12,0.15540777777777776,13.000461138888896,654.2780000000007
23.91,10.38,248.1,2.121,0.14617225,13.146633388888896,656.3990000000007
24.0,1.56,37.4,2.128,0.022107555555555554,13.168740944444451,658.5270000000007
23.99,1.98,47.5,2.121,0.02798541666666667,13.196726361111118,660.6480000000007
23.99,1.77,42.4,2.133,0.025122,13.221848361111117,662.7810000000007
23.99,2.22,53.2,2.119,0.03131411111111112,13.253162472222229,664.9000000000008
23.99,1.23,29.5,2.12,0.017372222222222223,13.270534694444452,667.0200000000008
23.99,2.22,53.2,2.131,0.03149144444444444,13.302026138888897,669.1510000000007
23.99,2.25,53.9,2.119,0.03172613888888889,13.333752277777785,671.2700000000008
24.0,2.22,53.2,2.118,0.03129933333333333,13.365051611111118,673.3880000000008
23.99,2.25,53.9,2.127,0.03184591666666666,13.396897527777785,675.5150000000008
23.99,1.95,46.7,2.121,0.027514083333333335,13.424411611111118,677.6360000000008
23.99,1.23,29.5,2.12,0.017372222222222223,13.441783833333341,679.7560000000008
23.99,1.35,32.3,2.124,0.019056999999999998,13.460840833333341,681.8800000000008
23.99,2.01,48.2,2.119,0.02837105555555556,13.489211888888896,683.9990000000008
23.98,2.22,53.2,2.116,0.03126977777777778,13.520481666666674,686.1150000000008
24.0,2.04,48.9,2.133,0.02897325,13.549454916666674,688.2480000000008
23.99,1.38,33.1,2.121,0.019501416666666667,13.568956333333341,690.3690000000008
23.99,2.07,49.6,2.118,0.02918133333333333,13.598137666666675,692.4870000000009
24.0,1.35,32.4,2.126,0.019133999999999998,13.617271666666674,694.6130000000009
23.99,2.01,48.2,2.119,0.02837105555555556,13.64564272222223,696.7320000000009
23.91,10.44,249.6,2.119,0.14691733333333334,13.792560055555562,698.8510000000009
23.9,10.89,260.2,2.128,0.15380711111111112,13.946367166666674,700.979000000001
23.97,10.56,253.1,2.117,0.1488368611111111,14.095204027777784,703.0960000000009
23.99,1.86,44.6,2.118,0.026239666666666668,14.121443694444451,705.214000000001
23.99,2.22,53.2,2.134,0.03153577777777778,14.15297947222223,707.348000000001
24.0,1.86,44.6,2.118,0.026239666666666668,14.179219138888897,709.466000000001
23.99,2.19,52.5,2.135,0.031135416666666665,14.210354555555563,711.601000000001
24.0,1.38,33.1,2.118,0.019473833333333333,14.229828388888896,713.7190000000011
23.99,2.01,48.2,2.119,0.02837105555555556,14.25819944444445,715.8380000000011
24.0,1.77,42.4,2.13,0.025086666666666667,14.283286111111117,717.9680000000011
24.0,1.77,42.4,2.119,0.024957111111111114,14.308243222222229,720.0870000000011
23.99,2.16,51.8,2.136,0.030734666666666667,14.338977888888897,722.2230000000011
24.0,1.41,33.8,2.117,0.019876277777777777,14.358854166666674,724.340000000001
23.99,1.35,32.3,2.12,0.01902111111111111,14.377875277777786,726.4600000000011
