Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s,power_smooth
23.66,10.71,253.3,2.117,0.14895447222222225,244.04176252777924,10998.242000000077,81.24607583176947
23.96,2.16,51.7,2.117,0.030402472222222223,244.07216500000146,11000.359000000077,81.24329813917447
23.99,2.22,53.2,2.129,0.03146188888888889,244.10362688889035,11002.488000000078,81.32366955732697
23.97,2.28,54.6,2.118,0.032123,244.13574988889036,11004.606000000078,81.41629642964911
23.98,1.56,37.4,2.12,0.022024444444444444,244.1577743333348,11006.726000000079,82.86523164317849
23.96,2.19,52.4,2.133,0.031046999999999998,244.1888213333348,11008.859000000079,84.46947453250336
23.97,2.25,53.9,2.125,0.03181597222222222,244.22063730555703,11010.984000000079,84.454780630673
23.98,1.92,46.0,2.13,0.027216666666666663,244.2478539722237,11013.114000000078,84.48302057312483
23.96,2.25,53.9,2.117,0.031696194444444444,244.27955016666814,11015.231000000078,84.3609359569699
23.99,1.86,44.6,2.12,0.026264444444444448,244.3058146111126,11017.351000000079,84.4133550630141
23.99,1.89,45.3,2.118,0.026651499999999998,244.3324661111126,11019.46900000008,84.29313592453059
23.98,1.71,41.0,2.13,0.024258333333333333,244.35672444444594,11021.599000000078,82.62862603591988
23.97,1.44,34.5,2.118,0.0202975,244.37702194444594,11023.717000000079,81.16991589821444
23.96,2.19,52.4,2.116,0.030799555555555556,244.4078215000015,11025.833000000079,81.33406441079438
23.96,2.28,54.6,2.118,0.032123,244.4399445000015,11027.95100000008,81.22568418897346
23.65,10.59,250.4,2.128,0.14801422222222224,244.58795872222373,11030.07900000008,81.05362715355729
23.67,10.89,257.7,2.117,0.15154191666666667,244.7395006388904,11032.19600000008,80.99850203158684
23.81,10.62,252.8,2.119,0.1488008888888889,244.8883015277793,11034.31500000008,80.85772661564958
23.97,2.28,54.6,2.13,0.032305,244.9206065277793,11036.44500000008,80.75095605229673
23.97,2.16,51.7,2.12,0.03044555555555556,244.95105208333487,11038.56500000008,80.63467203682187
23.98,1.95,46.7,2.122,0.027527055555555558,244.97857913889044,11040.68700000008,80.89196146166856
23.96,1.95,46.7,2.13,0.027630833333333334,245.0062099722238,11042.81700000008,82.24423137679197
23.97,2.01,48.1,2.12,0.02832555555555556,245.03453552777935,11044.93700000008,83.78453435481109
23.96,2.01,48.1,2.117,0.028285472222222226,245.06282100000158,11047.05400000008,83.7641502122026
23.96,1.86,44.5,2.131,0.026341527777777776,245.08916252777937,11049.18500000008,83.5824164570359
23.97,2.01,48.1,2.118,0.028298833333333332,245.1174613611127,11051.30300000008,82.01601408268948
