Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.02,2.19,52.6,2.128,0.031092444444444447,8.386721611111113,620.2770000000008
24.0,2.16,51.8,2.12,0.030504444444444445,8.417226055555558,622.3970000000008
24.01,1.65,39.6,2.119,0.023309,8.440535055555557,624.5160000000009
24.01,2.19,52.5,2.133,0.031106250000000002,8.471641305555558,626.6490000000009
24.0,1.74,41.7,2.123,0.02459141666666667,8.496232722222224,628.772000000001
24.0,2.19,52.5,2.117,0.030872916666666667,8.52710563888889,630.8890000000009
24.01,2.19,52.5,2.131,0.031077083333333328,8.558182722222224,633.0200000000009
24.01,2.25,54.0,2.12,0.0318,8.589982722222224,635.1400000000009
24.02,1.98,47.5,2.12,0.027972222222222225,8.617954944444447,637.2600000000009
24.01,2.13,51.1,2.126,0.03017738888888889,8.648132333333336,639.3860000000009
24.02,2.13,51.1,2.121,0.030106416666666667,8.678238750000004,641.5070000000009
24.02,2.19,52.6,2.119,0.03096094444444445,8.709199694444449,643.6260000000009
24.01,1.59,38.1,2.131,0.02255308333333333,8.731752777777782,645.7570000000009
24.0,1.74,41.7,2.122,0.024579833333333335,8.756332611111116,647.8790000000008
24.02,1.98,47.5,2.118,0.02794583333333333,8.78427844444445,649.9970000000009
24.01,2.16,51.8,2.133,0.030691499999999997,8.81496994444445,652.1300000000009
24.02,1.98,47.5,2.116,0.027919444444444445,8.842889388888894,654.2460000000009
24.0,1.86,44.6,2.122,0.02628922222222222,8.869178611111117,656.3680000000008
24.0,2.25,54.0,2.131,0.03196499999999999,8.901143611111117,658.4990000000008
24.02,1.92,46.1,2.12,0.02714777777777778,8.928291388888894,660.6190000000008
24.01,2.25,54.0,2.12,0.0318,8.960091388888895,662.7390000000008
24.0,2.04,48.9,2.14,0.029068333333333335,8.989159722222228,664.8790000000008
24.01,1.71,41.0,2.119,0.024133055555555557,9.013292777777783,666.9980000000008
24.01,1.62,38.8,2.129,0.022945888888888887,9.036238666666673,669.1270000000009
24.02,2.19,52.6,2.118,0.03094633333333333,9.067185000000006,671.2450000000009
24.0,2.22,53.2,2.12,0.03132888888888889,9.098513888888894,673.3650000000009
24.0,1.77,42.4,2.131,0.02509844444444444,9.123612333333337,675.4960000000009
24.01,2.25,54.0,2.117,0.031755,9.155367333333338,677.6130000000009
24.01,1.71,41.0,2.12,0.024144444444444444,9.179511777777781,679.7330000000009
24.0,2.19,52.5,2.134,0.031120833333333334,9.210632611111114,681.8670000000009
24.02,2.01,48.2,2.116,0.02833088888888889,9.238963500000002,683.9830000000009
24.01,1.56,37.4,2.118,0.022003666666666664,9.260967166666669,686.1010000000009
24.01,1.47,35.2,2.118,0.020709333333333333,9.281676500000001,688.219000000001
24.0,2.16,51.8,2.129,0.030633944444444443,9.312310444444446,690.348000000001
24.02,1.56,37.4,2.116,0.02198288888888889,9.334293333333335,692.464000000001
24.02,2.22,53.3,2.115,0.03131375,9.365607083333336,694.579000000001
24.0,2.19,52.5,2.118,0.0308875,9.396494583333336,696.697000000001
24.02,2.01,48.2,2.131,0.02853172222222222,9.425026305555559,698.828000000001
24.01,1.83,43.9,2.124,0.025901,9.450927305555558,700.952000000001
24.02,1.71,41.0,2.118,0.024121666666666666,9.475048972222224,703.0700000000011
24.0,1.95,46.8,2.13,0.027689999999999996,9.502738972222224,705.2000000000011
24.01,2.07,49.7,2.118,0.029240166666666668,9.53197913888889,707.3180000000011
24.01,2.01,48.2,2.121,0.028397833333333334,9.560376972222222,709.4390000000011
24.01,2.25,54.0,2.129,0.031935,9.592311972222223,711.5680000000011
24.02,1.86,44.6,2.122,0.02628922222222222,9.618601194444446,713.6900000000011
24.0,2.25,54.0,2.119,0.03178500000000001,9.650386194444446,715.8090000000011
24.01,1.71,41.0,2.131,0.02426972222222222,9.674655916666667,717.9400000000011
24.0,1.71,41.0,2.116,0.02409888888888889,9.698754805555556,720.0560000000011
24.0,2.19,52.5,2.12,0.03091666666666667,9.729671472222222,722.1760000000011
24.0,2.16,51.8,2.133,0.030691499999999997,9.760362972222222,724.3090000000011
24.02,1.65,39.6,2.118,0.023298,9.783660972222222,726.4270000000012
24.0,2.22,53.2,2.123,0.031373222222222226,9.815034194444443,728.5500000000012
